book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
206 Bones (Temperance Brennan  #12)	,  Catching Fire (The Hunger Games  #2) - 63.64, The Lost Symbol (Robert Langdon  #3) - 61.36, The Hunger Games (The Hunger Games  #1) - 56.82, The Guernsey Literary and Potato Peel Pie Society - 36.10, The Girl Who Played with Fire (Millennium  #2) - 31.28, The Help - 26.99, Twilight (Twilight  #1) - 23.03, The Girl with the Dragon Tattoo (Millennium  #1) - 17.05, Déjà Dead (Temperance Brennan  #1) - 10.84, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 9.09 
20th Century Ghosts	,  Heart-Shaped Box - 74.55, The Hunger Games (The Hunger Games  #1) - 58.30, Horns - 52.92, The Passage (The Passage  #1) - 30.47, Dark Places - 29.56, Catching Fire (The Hunger Games  #2) - 28.62, The Road - 23.37, The Girl with the Dragon Tattoo (Millennium  #1) - 23.40, Dead Until Dark (Sookie Stackhouse  #1) - 21.78, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 21.78 
2nd Chance (Women's Murder Club  #2)	,  1st to Die (Women's Murder Club  #1) - 73.10, 3rd Degree (Women's Murder Club  #3) - 50.00, 4th of July (Women's Murder Club  #4) - 43.59, Catching Fire (The Hunger Games  #2) - 22.72, The 6th Target (Women's Murder Club  #6) - 23.28, The Hunger Games (The Hunger Games  #1) - 19.47, The 5th Horseman (Women's Murder Club  #5) - 22.55, The Book Thief - 17.42, One for the Money (Stephanie Plum  #1) - 20.11, Twilight (Twilight  #1) - 14.43 
300	,  Brave New World - 68.06, Watchmen - 54.21, V for Vendetta - 52.94, Batman: The Killing Joke - 51.34, The Hunger Games (The Hunger Games  #1) - 49.11, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 45.76, The Road - 30.61, Batman: The Dark Knight Returns (The Dark Knight Saga  #1) - 29.85, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 21.98, Animal Farm - 19.78 
3rd Degree (Women's Murder Club  #3)	,  1st to Die (Women's Murder Club  #1) - 73.81, 2nd Chance (Women's Murder Club  #2) - 65.29, 4th of July (Women's Murder Club  #4) - 65.38, The 5th Horseman (Women's Murder Club  #5) - 42.46, Catching Fire (The Hunger Games  #2) - 35.39, The Hunger Games (The Hunger Games  #1) - 33.72, The 6th Target (Women's Murder Club  #6) - 34.62, 7th Heaven (Women's Murder Club  #7) - 31.73, The 8th Confession (Women's Murder Club  #8) - 29.23, Twilight (Twilight  #1) - 23.87 
44 Scotland Street (44 Scotland Street  #1)	,  The Hunger Games (The Hunger Games  #1) - 52.50, The Girl with the Dragon Tattoo (Millennium  #1) - 43.74, Water for Elephants - 38.93, The Guernsey Literary and Potato Peel Pie Society - 39.85, Catching Fire (The Hunger Games  #2) - 31.12, The Help - 34.78, The Sunday Philosophy Club (Isabel Dalhousie  #1) - 29.42, The Book Thief - 26.62, The Thirteenth Tale - 22.41, The Curious Incident of the Dog in the Night-Time - 22.41 
4:50 from Paddington (Miss Marple  #8)	,  Murder at the Vicarage (Miss Marple  #1) - 71.88, And Then There Were None - 68.22, The Body in the Library (Miss Marple  #3) - 62.50, The Moving Finger (Miss Marple  #4) - 55.86, The Hunger Games (The Hunger Games  #1) - 49.33, A Murder Is Announced (Miss Marple  #5) - 38.14, Murder on the Orient Express (Hercule Poirot  #10) - 37.39, The Book Thief - 31.22, The Girl with the Dragon Tattoo (Millennium  #1) - 30.05, The Murder of Roger Ackroyd (Hercule Poirot  #4) - 28.25 
4th of July (Women's Murder Club  #4)	,  3rd Degree (Women's Murder Club  #3) - 71.12, The 5th Horseman (Women's Murder Club  #5) - 67.10, 1st to Die (Women's Murder Club  #1) - 64.25, 2nd Chance (Women's Murder Club  #2) - 58.58, The 6th Target (Women's Murder Club  #6) - 51.47, 7th Heaven (Women's Murder Club  #7) - 50.25, The Hunger Games (The Hunger Games  #1) - 38.87, The 8th Confession (Women's Murder Club  #8) - 28.72, Water for Elephants - 23.58, The 9th Judgment  (Women's Murder Club  #9) - 26.48 
61 Hours (Jack Reacher  #14)	,  Bad Luck and Trouble (Jack Reacher  #11) - 72.08, Gone Tomorrow (Jack Reacher  #13) - 76.79, The Girl with the Dragon Tattoo (Millennium  #1) - 62.18, Nothing to Lose (Jack Reacher  #12) - 68.46, The Hard Way (Jack Reacher  #10) - 61.15, Killing Floor (Jack Reacher  #1) - 55.85, Die Trying (Jack Reacher  #2) - 54.28, One Shot (Jack Reacher  #9) - 53.93, The Hunger Games (The Hunger Games  #1) - 45.16, Tripwire  (Jack Reacher  #3) - 49.71 
7th Heaven (Women's Murder Club  #7)	,  The 6th Target (Women's Murder Club  #6) - 74.42, The 8th Confession (Women's Murder Club  #8) - 72.09, 2nd Chance (Women's Murder Club  #2) - 64.50, The Hunger Games (The Hunger Games  #1) - 61.06, 3rd Degree (Women's Murder Club  #3) - 51.79, 4th of July (Women's Murder Club  #4) - 52.61, 1st to Die (Women's Murder Club  #1) - 51.56, The 5th Horseman (Women's Murder Club  #5) - 48.96, The Help - 46.87, The 9th Judgment  (Women's Murder Club  #9) - 44.86 
84 - Charing Cross Road	,  The Book Thief - 81.89, The Guernsey Literary and Potato Peel Pie Society - 78.43, The Hunger Games (The Hunger Games  #1) - 68.79, The Help - 67.18, The Thirteenth Tale - 49.18, Catching Fire (The Hunger Games  #2) - 52.35, The Girl with the Dragon Tattoo (Millennium  #1) - 40.92, The Graveyard Book - 40.31, The Immortal Life of Henrietta Lacks - 38.94, The Perks of Being a Wallflower - 36.99 
90 Minutes in Heaven: A True Story of Death and Life	,  The Hunger Games (The Hunger Games  #1) - 56.25, The Help - 52.08, Catching Fire (The Hunger Games  #2) - 31.36, Water for Elephants - 27.00, The Shack - 25.00, The Book Thief - 22.38, The Guernsey Literary and Potato Peel Pie Society - 16.33, Twilight (Twilight  #1) - 13.76, The Glass Castle - 12.19, The Art of Racing in the Rain - 10.00 
A Beautiful Blue Death (Charles Lenox Mysteries  #1)	,  The Girl with the Dragon Tattoo (Millennium  #1) - 52.63, The Guernsey Literary and Potato Peel Pie Society - 46.18, The Hunger Games (The Hunger Games  #1) - 39.70, The Help - 36.40, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 37.11, The Book Thief - 19.42, Hotel on the Corner of Bitter and Sweet - 16.07, Still Life (Chief Inspector Armand Gamache  #1) - 16.34, Maisie Dobbs (Maisie Dobbs  #1) - 13.94, The Devil in the White City: Murder - Magic - and Madness at the Fair That Changed America - 10.58 
A Bend in the Road	,  The Hunger Games (The Hunger Games  #1) - 65.42, The Guardian - 58.20, Catching Fire (The Hunger Games  #2) - 48.91, A Walk to Remember - 45.56, New Moon (Twilight  #2) - 42.54, The Book Thief - 37.34, Dear John - 37.65, The Rescue - 39.33, The Lucky One - 38.62, The Choice - 34.36 
A Breath of Snow and Ashes (Outlander  #6)	,  The Fiery Cross (Outlander  #5) - 83.06, Outlander (Outlander  #1) - 82.33, Drums of Autumn (Outlander  #4) - 74.24, Dragonfly in Amber (Outlander  #2) - 74.04, Voyager (Outlander  #3) - 70.46, An Echo in the Bone (Outlander  #7) - 66.07, The Hunger Games (The Hunger Games  #1) - 34.44, The Help - 26.20, Catching Fire (The Hunger Games  #2) - 24.80, A Game of Thrones (A Song of Ice and Fire  #1) - 25.04 
A Brief History of Time	,  1984 - 73.84, To Kill a Mockingbird - 61.73, Animal Farm - 64.94, The Alchemist - 58.59, The Hunger Games (The Hunger Games  #1) - 51.43, The Book Thief - 47.57, Slaughterhouse-Five - 47.68, Catching Fire (The Hunger Games  #2) - 47.68, A Game of Thrones (A Song of Ice and Fire  #1) - 45.36, Brave New World - 43.34 
A Canticle for Leibowitz	,  The Hunger Games (The Hunger Games  #1) - 68.01, A Game of Thrones (A Song of Ice and Fire  #1) - 55.09, The Road - 58.86, Catching Fire (The Hunger Games  #2) - 49.35, The Name of the Wind (The Kingkiller Chronicle  #1) - 48.16, The Handmaid's Tale - 44.29, American Gods (American Gods  #1) - 39.80, Do Androids Dream of Electric Sheep? - 38.20, The Magicians (The Magicians #1) - 36.53, Ender's Game (Ender's Saga  #1) - 31.17 
A Certain Slant of Light (Light  #1)	,  The Hunger Games (The Hunger Games  #1) - 68.24, Catching Fire (The Hunger Games  #2) - 59.01, If I Stay (If I Stay  #1) - 48.03, Hush - Hush (Hush - Hush  #1) - 40.55, Twilight (Twilight  #1) - 43.39, Shiver (The Wolves of Mercy Falls  #1) - 38.78, The Book Thief - 39.46, Anna and the French Kiss (Anna and the French Kiss  #1) - 36.01, The Host (The Host  #1) - 35.71, City of Bones (The Mortal Instruments  #1) - 34.26 
A Christmas Carol	,  The Hunger Games (The Hunger Games  #1) - 82.79, Catching Fire (The Hunger Games  #2) - 54.52, The Book Thief - 53.73, The Great Gatsby - 50.00, Pride and Prejudice - 49.12, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 48.46, To Kill a Mockingbird - 47.62, The Girl with the Dragon Tattoo (Millennium  #1) - 38.81, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 39.10, The Help - 38.59 
A Clash of Kings  (A Song of Ice and Fire  #2)	,  A Game of Thrones (A Song of Ice and Fire  #1) - 79.69, A Storm of Swords (A Song of Ice and Fire  #3) - 60.03, A Feast for Crows (A Song of Ice and Fire  #4) - 55.15, The Hunger Games (The Hunger Games  #1) - 39.18, Catching Fire (The Hunger Games  #2) - 32.07, The Book Thief - 22.34, The Girl with the Dragon Tattoo (Millennium  #1) - 20.20, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 17.16, The Name of the Wind (The Kingkiller Chronicle  #1) - 17.30, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 15.10 
A Clockwork Orange	,  The Hunger Games (The Hunger Games  #1) - 66.85, 1984 - 66.43, The Great Gatsby - 59.27, The Catcher in the Rye - 53.42, The Handmaid's Tale - 47.16, The Book Thief - 50.90, Catching Fire (The Hunger Games  #2) - 46.71, Brave New World - 48.98, The Road - 46.88, Slaughterhouse-Five - 43.78 
A Confederacy of Dunces	,  The Hunger Games (The Hunger Games  #1) - 57.80, The Girl with the Dragon Tattoo (Millennium  #1) - 60.71, The Road - 51.66, The Book Thief - 42.49, To Kill a Mockingbird - 42.82, The Help - 41.28, The Handmaid's Tale - 36.05, The Curious Incident of the Dog in the Night-Time - 38.35, The Great Gatsby - 35.23, Life of Pi - 35.61 
A Connecticut Yankee in King Arthur's Court	,  The Hunger Games (The Hunger Games  #1) - 59.68, To Kill a Mockingbird - 33.26, 1984 - 35.62, The Great Gatsby - 35.00, The Help - 34.38, Brave New World - 30.95, Slaughterhouse-Five - 30.95, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 29.25, Pride and Prejudice - 27.56, Catching Fire (The Hunger Games  #2) - 26.44 
A Conspiracy of Kings (The Queen's Thief  #4)	,  The Thief (The Queen's Thief  #1) - 76.88, The King of Attolia (The Queen's Thief  #3) - 73.55, The Queen of Attolia (The Queen's Thief  #2) - 63.11, The Hunger Games (The Hunger Games  #1) - 37.93, Graceling (Graceling Realm  #1) - 35.49, The Book Thief - 32.46, Catching Fire (The Hunger Games  #2) - 31.99, Fire (Graceling Realm  #2) - 28.55, The Graveyard Book - 24.05, Shiver (The Wolves of Mercy Falls  #1) - 22.79 
A Countess Below Stairs	,  The Hunger Games (The Hunger Games  #1) - 64.29, Catching Fire (The Hunger Games  #2) - 59.05, City of Bones (The Mortal Instruments  #1) - 45.34, Graceling (Graceling Realm  #1) - 50.73, The Book Thief - 45.52, The Help - 46.30, The Guernsey Literary and Potato Peel Pie Society - 43.19, Shiver (The Wolves of Mercy Falls  #1) - 40.05, Austenland (Austenland  #1) - 38.54, Anna and the French Kiss (Anna and the French Kiss  #1) - 35.74 
A Crown of Swords (Wheel of Time  #7)	,  Lord of Chaos (Wheel of Time  #6) - 61.22, The Shadow Rising (Wheel of Time  #4) - 58.31, The Eye of the World (Wheel of Time  #1) - 58.49, The Path of Daggers (Wheel of Time  #8) - 49.42, The Great Hunt (Wheel of Time  #2) - 48.01, The Dragon Reborn (Wheel of Time  #3) - 45.36, Winter's Heart (Wheel of Time  #9) - 43.25, Knife of Dreams (Wheel of Time  #11) - 40.97, The Fires of Heaven (Wheel of Time  #5) - 35.38, The Gathering Storm (Wheel of Time  #12) - 35.52 
A Curse Dark as Gold	,  The Hunger Games (The Hunger Games  #1) - 70.61, The Graveyard Book - 42.52, Catching Fire (The Hunger Games  #2) - 39.82, Graceling (Graceling Realm  #1) - 38.68, The Book Thief - 34.12, The Help - 26.21, If I Stay (If I Stay  #1) - 28.11, When You Reach Me - 26.67, The Lightning Thief (Percy Jackson and the Olympians  #1) - 24.43, Fire (Graceling Realm  #2) - 24.34 
A Darkness More Than Night (Harry Bosch  #7; Terry McCaleb  #2; Harry Bosch Universe  #9)	,  Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7) - 75.00, The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1) - 71.32, The Concrete Blonde (Harry Bosch  #3; Harry Bosch Universe  #3) - 59.35, The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2) - 56.37, Lost Light (Harry Bosch  #9; Harry Bosch Universe  #11) - 55.24, City of Bones (Harry Bosch  #8; Harry Bosch Universe  #10) - 54.62, The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5) - 52.14, The Closers (Harry Bosch  #11; Harry Bosch Universe  #14) - 54.03, The Last Coyote (Harry Bosch  #4; Harry Bosch Universe  #4) - 50.37, Nine Dragons (Harry Bosch  #15; Mickey Haller  #3; Harry Bosch Universe  #20) - 45.63 
A Dirty Job (Grim Reaper  #1)	,  The Hunger Games (The Hunger Games  #1) - 74.76, Catching Fire (The Hunger Games  #2) - 54.85, The Book Thief - 46.85, Twilight (Twilight  #1) - 48.38, Water for Elephants - 37.14, The Magicians (The Magicians #1) - 34.71, Lamb: The Gospel According to Biff - Christ's Childhood Pal - 41.62, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 37.34, The Graveyard Book - 34.84, The Girl with the Dragon Tattoo (Millennium  #1) - 32.52 
A Distant Mirror:  The Calamitous 14th Century	,  The Guns of August - 84.38, The Hunger Games (The Hunger Games  #1) - 82.81, The Road - 15.00, The Help - 14.58, Wolf Hall (Thomas Cromwell  #1) - 0.00, A Game of Thrones (A Song of Ice and Fire  #1) - 0.00, The Immortal Life of Henrietta Lacks - 0.00, The Name of the Wind (The Kingkiller Chronicle  #1) - 0.00 
A Doll's House	,  The Great Gatsby - 65.56, Catching Fire (The Hunger Games  #2) - 51.20, The Hunger Games (The Hunger Games  #1) - 45.99, 1984 - 43.36, To Kill a Mockingbird - 42.16, Pride and Prejudice - 42.95, The Handmaid's Tale - 38.90, The Book Thief - 36.53, The Catcher in the Rye - 40.05, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 32.13 
A Drink Before the War (Kenzie & Gennaro  #1)	,  The Hunger Games (The Hunger Games  #1) - 64.58, Shutter Island - 51.61, Catching Fire (The Hunger Games  #2) - 44.32, The Girl with the Dragon Tattoo (Millennium  #1) - 43.26, Gone - Baby - Gone (Kenzie & Gennaro  #4) - 46.15, The Girl Who Played with Fire (Millennium  #2) - 41.54, The Road - 41.54, The Help - 35.21, Mystic River - 35.00, The Lost Symbol (Robert Langdon  #3) - 27.14 
A Duty To The Dead (Bess Crawford  #1)	,  The Girl with the Dragon Tattoo (Millennium  #1) - 68.10, The Guernsey Literary and Potato Peel Pie Society - 67.46, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 51.91, The Help - 43.48, The Hunger Games (The Hunger Games  #1) - 41.67, Maisie Dobbs (Maisie Dobbs  #1) - 37.50, Still Life (Chief Inspector Armand Gamache  #1) - 33.75, The Girl Who Played with Fire (Millennium  #2) - 31.00, Outlander (Outlander  #1) - 23.04, Twilight (Twilight  #1) - 22.55 
A Farewell to Arms	,  The Hunger Games (The Hunger Games  #1) - 63.77, To Kill a Mockingbird - 56.17, 1984 - 50.14, The Book Thief - 47.85, The Catcher in the Rye - 48.62, The Road - 46.21, Lord of the Flies - 48.40, The Old Man and the Sea - 47.03, The Girl with the Dragon Tattoo (Millennium  #1) - 42.21, The Great Gatsby - 40.78 
A Fatal Grace (Chief Inspector Armand Gamache  #2)	,  Still Life (Chief Inspector Armand Gamache  #1) - 76.69, The Cruelest Month (Chief Inspector Armand Gamache  #3) - 51.35, A Rule Against Murder (Chief Inspector Armand Gamache  #4) - 46.50, The Guernsey Literary and Potato Peel Pie Society - 28.60, The Brutal Telling (Chief Inspector Armand Gamache  #5) - 31.88, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 28.56, The Help - 27.11, The Hunger Games (The Hunger Games  #1) - 24.84, The Girl with the Dragon Tattoo (Millennium  #1) - 23.50, The Book Thief - 22.38 
A Feast for Crows (A Song of Ice and Fire  #4)	,  A Storm of Swords (A Song of Ice and Fire  #3) - 69.01, A Clash of Kings  (A Song of Ice and Fire  #2) - 60.81, A Game of Thrones (A Song of Ice and Fire  #1) - 59.19, The Hunger Games (The Hunger Games  #1) - 38.30, Catching Fire (The Hunger Games  #2) - 30.06, The Book Thief - 19.80, The Girl with the Dragon Tattoo (Millennium  #1) - 19.58, The Name of the Wind (The Kingkiller Chronicle  #1) - 19.47, Ender's Game (Ender's Saga  #1) - 15.57, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 15.80 
A Fine Balance	,  The Book Thief - 84.09, The Help - 61.56, The Kite Runner - 51.96, The Girl with the Dragon Tattoo (Millennium  #1) - 50.82, The Hunger Games (The Hunger Games  #1) - 47.57, Water for Elephants - 42.89, To Kill a Mockingbird - 46.13, The Immortal Life of Henrietta Lacks - 39.50, The Glass Castle - 41.44, A Thousand Splendid Suns - 39.18 
A Fire Upon the Deep (Zones of Thought  #1)	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 76.88, Ender's Game (Ender's Saga  #1) - 53.65, The Hunger Games (The Hunger Games  #1) - 43.94, Old Man's War (Old Man's War  #1) - 38.53, Hyperion (Hyperion Cantos  #1) - 37.29, The Lies of Locke Lamora (Gentleman Bastard  #1) - 32.82, Catching Fire (The Hunger Games  #2) - 32.83, A Game of Thrones (A Song of Ice and Fire  #1) - 35.96, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 33.15, American Gods (American Gods  #1) - 32.22 
A Fistful of Charms (The Hollows  #4)	,  Every Which Way But Dead (The Hollows  #3) - 70.00, Dead Witch Walking (The Hollows  #1) - 67.89, The Good - the Bad - and the Undead (The Hollows  #2) - 66.83, For a Few Demons More (The Hollows  #5) - 50.37, White Witch - Black Curse (The Hollows  #7) - 43.51, The Outlaw Demon Wails (The Hollows  #6) - 44.95, Black Magic Sanction (The Hollows  #8) - 39.12, The Hunger Games (The Hunger Games  #1) - 37.36, Halfway to the Grave (Night Huntress  #1) - 28.45, Moon Called (Mercy Thompson  #1) - 24.08 
A Game of Thrones (A Song of Ice and Fire  #1)	,  A Clash of Kings  (A Song of Ice and Fire  #2) - 88.10, The Hunger Games (The Hunger Games  #1) - 69.92, A Storm of Swords (A Song of Ice and Fire  #3) - 66.78, A Feast for Crows (A Song of Ice and Fire  #4) - 60.80, Catching Fire (The Hunger Games  #2) - 53.61, The Book Thief - 42.33, The Girl with the Dragon Tattoo (Millennium  #1) - 39.33, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 32.47, Outlander (Outlander  #1) - 29.97, Twilight (Twilight  #1) - 29.42 
A Game of You (The Sandman #5)	,  Season of Mists (The Sandman #4) - 74.49, The Doll's House (The Sandman #2) - 67.61, Preludes & Nocturnes (The Sandman #1) - 64.59, Dream Country (The Sandman #3) - 62.15, Brief Lives (The Sandman #7) - 57.03, The Hunger Games (The Hunger Games  #1) - 40.41, The Wake (The Sandman #10) - 36.75, Ender's Game (Ender's Saga  #1) - 22.70, The Graveyard Book - 22.24, A Game of Thrones (A Song of Ice and Fire  #1) - 21.62 
A Gate at the Stairs	,  The Hunger Games (The Hunger Games  #1) - 60.48, Little Bee - 54.75, The Help - 46.61, The Book Thief - 45.61, The Girl with the Dragon Tattoo (Millennium  #1) - 44.74, Catching Fire (The Hunger Games  #2) - 39.26, Olive Kitteridge - 40.81, The Elegance of the Hedgehog - 37.94, The Immortal Life of Henrietta Lacks - 37.21, Water for Elephants - 35.02 
A Girl Named Zippy	,  The Help - 64.11, The Hunger Games (The Hunger Games  #1) - 54.26, The Glass Castle - 51.91, The Book Thief - 44.31, The Guernsey Literary and Potato Peel Pie Society - 37.99, The Immortal Life of Henrietta Lacks - 29.27, Catching Fire (The Hunger Games  #2) - 28.57, The Curious Incident of the Dog in the Night-Time - 27.51, Olive Kitteridge - 24.04, Life of Pi - 25.15 
A Girl's Guide to Vampires (Dark Ones #1)	,  Halfway to the Grave (Night Huntress  #1) - 50.00, The Hunger Games (The Hunger Games  #1) - 45.50, Darkfever (Fever  #1) - 30.97, Dark Lover (Black Dagger Brotherhood  #1) - 30.47, Twilight (Twilight  #1) - 28.28, Magic Bleeds (Kate Daniels  #4) - 27.42, Magic Bites (Kate Daniels  #1) - 28.29, This Side of the Grave (Night Huntress  #5) - 23.68, Moon Called (Mercy Thompson  #1) - 17.62, Covet (Fallen Angels  #1) - 23.16 
A God in Ruins	,  The Book Thief - 72.76, The Hunger Games (The Hunger Games  #1) - 58.94, The Help - 59.52, Catching Fire (The Hunger Games  #2) - 52.82, The Handmaid's Tale - 46.86, The Girl with the Dragon Tattoo (Millennium  #1) - 44.27, Dark Places - 42.25, Wolf Hall (Thomas Cromwell  #1) - 44.30, Outlander (Outlander  #1) - 40.58, Cutting for Stone - 39.73 
A Good Man is Hard to Find and Other Stories	,  The Book Thief - 70.24, The Road - 46.76, The Handmaid's Tale - 44.12, Animal Farm - 42.35, Catching Fire (The Hunger Games  #2) - 37.94, Slaughterhouse-Five - 36.72, The Graveyard Book - 26.67, The Hunger Games (The Hunger Games  #1) - 25.33, In Cold Blood - 23.57, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 15.38 
A Great Deliverance (Inspector Lynley  #1)	,  The Book Thief - 75.66, In the Woods (Dublin Murder Squad  #1) - 43.81, The Girl with the Dragon Tattoo (Millennium  #1) - 28.22, The Guernsey Literary and Potato Peel Pie Society - 25.83, Catching Fire (The Hunger Games  #2) - 25.83, The Help - 24.58, The Girl Who Played with Fire (Millennium  #2) - 24.17, The Immortal Life of Henrietta Lacks - 23.75, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 20.53, The Hunger Games (The Hunger Games  #1) - 16.56 
